Purchase ID,Item Name,Buyer Name,Purchase Email,Buyer Email,Do not contact?,Purchase Date,Purchase Time (UTC timezone),Subtotal ($),Taxes ($),Tax Type,Shipping ($),Sale Price ($),Fees ($),Net Total ($),Tip ($),Tax Included in Price?,Street Address,City,Zip Code,State,Country,Referrer,Refunded?,Partial Refund ($),Fully Refunded?,Disputed?,Dispute Won?,Access Revoked?,Variants,Discount Code,Recurring Charge?,Free trial purchase?,Pre-order authorization?,Product ID,Order Number,Pre-order authorization time (UTC timezone),Custom Fields,Item Price ($),Variants Price ($),Giftee Email,SKU ID,Quantity,Recurrence,Affiliate,Affiliate commission ($),Discover?,Cancellation Date,Subscription End Date,Rating,Review,License Key,License Key Activation Count,License Key Enabled?,Payment Type,PayPal Transaction ID,PayPal Fee Amount,PayPal Fee Currency,Stripe Transaction ID,Stripe Fee Amount,Stripe Fee Currency,Purchasing Power Parity Discounted?,Upsold?,Sent Abandoned Cart Email?,UTM Source,UTM Medium,UTM Campaign,UTM Term,UTM Content
DEMOPID000851==,Acme Pro,Rowan Ortiz,rowan.ortiz108@example.com,rowan.ortiz108@example.com,0,2023-06-03,2023-06-03 01:44:33 +0000,49.0,0.0,,0.0,49.0,5.23,43.77,0.0,,,,,,United States,direct,0,0.0,0,0,0,0,(Business),,0,0,0,demoPID,104256,,{},49.0,,,,1,monthly,,0.0,0,2026-06-04 00:00:00 UTC,2026-07-03,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000565==,Acme Pro,Hayden Nguyen,hayden.nguyen82@example.com,hayden.nguyen82@example.com,0,2023-06-20,2023-06-20 21:24:54 +0000,5.4,0.0,,0.0,5.4,0.49,4.91,0.0,,,,,,Brazil,direct,0,0.0,0,0,0,0,(Personal),blackfriday,0,0,0,demoPID,102875,,{},9.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000119==,Acme Pro,Morgan Andersson,morgan.andersson18@example.com,morgan.andersson18@example.com,0,2023-06-21,2023-06-21 02:15:46 +0000,19.0,0.0,,0.0,19.0,2.43,16.57,0.0,,,,,,United Kingdom,direct,0,0.0,0,0,0,0,(Startup),,0,0,0,demoPID,100567,,{},19.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000852==,Acme Pro,Rowan Ortiz,rowan.ortiz108@example.com,rowan.ortiz108@example.com,0,2023-07-03,2023-07-03 15:50:49 +0000,49.0,0.0,,0.0,49.0,4.86,44.14,0.0,,,,,,United States,direct,0,0.0,0,0,0,0,(Business),,1,0,0,demoPID,104263,,{},49.0,,,,1,monthly,,0.0,0,2026-06-04 00:00:00 UTC,2026-07-03,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000566==,Acme Pro,Hayden Nguyen,hayden.nguyen82@example.com,hayden.nguyen82@example.com,0,2023-07-20,2023-07-20 16:15:26 +0000,5.4,0.0,,0.0,5.4,0.51,4.89,0.0,,,,,,Brazil,direct,0,0.0,0,0,0,0,(Personal),blackfriday,1,0,0,demoPID,102880,,{},9.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000120==,Acme Pro,Morgan Andersson,morgan.andersson18@example.com,morgan.andersson18@example.com,0,2023-07-21,2023-07-21 07:44:30 +0000,19.0,0.0,,0.0,19.0,2.08,16.92,0.0,,,,,,United Kingdom,direct,0,0.0,0,0,0,0,(Startup),,1,0,0,demoPID,100574,,{},19.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID001325==,Acme Pro,Devin Patel,devin.patel167@example.com,devin.patel167@example.com,0,2023-07-31,2023-07-31 15:43:01 +0000,39.2,0.0,,0.0,39.2,4.83,34.37,0.0,,,,,,Brazil,direct,0,0.0,0,0,0,0,(Business),friend20,0,0,0,demoPID,106623,,{},49.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000853==,Acme Pro,Rowan Ortiz,rowan.ortiz108@example.com,rowan.ortiz108@example.com,0,2023-08-03,2023-08-03 23:58:48 +0000,49.0,0.0,,0.0,49.0,5.10,43.90,0.0,,,,,,United States,direct,0,0.0,0,0,0,0,(Business),,1,0,0,demoPID,104270,,{},49.0,,,,1,monthly,,0.0,0,2026-06-04 00:00:00 UTC,2026-07-03,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000427==,Acme Pro,Morgan Muller,morgan.muller64@example.com,morgan.muller64@example.com,0,2023-08-09,2023-08-09 21:03:48 +0000,19.0,0.0,,0.0,19.0,2.43,16.57,0.0,,,,,,Japan,direct,0,0.0,0,0,0,0,(Startup),,0,0,0,demoPID,102187,,{},19.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000567==,Acme Pro,Hayden Nguyen,hayden.nguyen82@example.com,hayden.nguyen82@example.com,0,2023-08-20,2023-08-20 04:45:17 +0000,5.4,0.0,,0.0,5.4,0.69,4.71,0.0,,,,,,Brazil,direct,0,0.0,0,0,0,0,(Personal),blackfriday,1,0,0,demoPID,102888,,{},9.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000121==,Acme Pro,Morgan Andersson,morgan.andersson18@example.com,morgan.andersson18@example.com,0,2023-08-21,2023-08-21 00:05:18 +0000,19.0,0.0,,0.0,19.0,2.05,16.95,0.0,,,,,,United Kingdom,direct,0,0.0,0,0,0,0,(Startup),,1,0,0,demoPID,100582,,{},19.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000479==,Acme Pro,Hayden Ortiz,hayden.ortiz68@example.com,hayden.ortiz68@example.com,0,2023-08-30,2023-08-30 10:50:27 +0000,84.2,0.0,,0.0,84.2,10.83,73.32,0.0,,,,,,India,direct,0,0.0,0,0,0,0,(Enterprise),welcome15,0,0,0,demoPID,102461,,{},99.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID001394==,Acme Pro,Hayden Johnson,hayden.johnson182@example.com,hayden.johnson182@example.com,0,2023-09-02,2023-09-02 19:24:19 +0000,19.0,0.0,,0.0,19.0,1.90,17.10,0.0,,,,,,United States,direct,0,0.0,0,0,0,0,(Startup),,0,0,0,demoPID,106999,,{},19.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000854==,Acme Pro,Rowan Ortiz,rowan.ortiz108@example.com,rowan.ortiz108@example.com,0,2023-09-03,2023-09-03 08:30:49 +0000,49.0,0.0,,0.0,49.0,5.24,43.76,0.0,,,,,,United States,direct,0,0.0,0,0,0,0,(Business),,1,0,0,demoPID,104272,,{},49.0,,,,1,monthly,,0.0,0,2026-06-04 00:00:00 UTC,2026-07-03,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000618==,Acme Pro,Drew Tanaka,drew.tanaka86@example.com,drew.tanaka86@example.com,0,2023-09-07,2023-09-07 14:46:26 +0000,0.0,0.0,,0.0,0.0,0.00,0.00,0.0,,,,,,United States,direct,0,0.0,0,0,0,0,(Personal),maintainer,0,0,0,demoPID,103134,,{},9.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000428==,Acme Pro,Morgan Muller,morgan.muller64@example.com,morgan.muller64@example.com,0,2023-09-09,2023-09-09 20:14:04 +0000,19.0,0.0,,0.0,19.0,2.02,16.98,0.0,,,,,,Japan,direct,0,0.0,0,0,0,0,(Startup),,1,0,0,demoPID,102188,,{},19.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
DEMOPID000568==,Acme Pro,Hayden Nguyen,hayden.nguyen82@example.com,hayden.nguyen82@example.com,0,2023-09-20,2023-09-20 07:57:54 +0000,5.4,0.0,,0.0,5.4,0.50,4.90,0.0,,,,,,Brazil,direct,0,0.0,0,0,0,0,(Personal),blackfriday,1,0,0,demoPID,102890,,{},9.0,,,,1,monthly,,0.0,0,,,,,,,1,card,,,,,,,,,,,,,,
